,SeriousDlqin2yrs
80307,0
30226,0
133736,0
37286,0
6148,0
16788,0
103624,0
30338,0
13953,0
134281,0
108753,0
138146,0
53559,0
23766,0
19817,0
101035,0
85521,0
55863,0
63389,0
22863,0
26838,0
41560,0
28329,0
10523,1
131841,1
3618,0
31003,0
15604,0
46462,1
140650,0
4921,0
111684,0
77005,1
119362,0
38927,1
30608,0
99938,0
148443,0
44845,0
31507,0
20846,0
57309,0
14519,0
6938,0
83386,1
47092,0
130439,0
34224,0
15602,0
8849,0
139059,0
106873,0
6281,0
97996,0
141940,0
142174,0
60961,0
85752,0
57620,0
118793,0
22098,0
129959,0
43112,0
96301,0
32223,0
122970,0
60391,0
139435,0
23362,0
76244,0
70061,0
100170,0
115065,0
132345,0
98747,0
98630,0
72108,0
148849,0
66990,0
23811,0
23698,0
146077,0
107701,0
65564,0
139667,0
10475,0
136055,0
97106,1
147170,0
82670,0
137982,0
10476,0
77869,0
91494,0
51189,0
23239,0
142854,0
66980,0
47709,0
88351,0
45665,0
143333,0
77359,0
109986,0
108875,0
20016,0
43755,0
24718,0
95828,0
99537,0
147944,0
149667,0
69663,1
39198,0
71471,0
26218,0
11831,0
148639,0
1629,0
979,0
83743,0
139761,0
124610,0
120717,0
1276,0
65816,0
124947,0
148105,0
71862,0
99232,0
60931,0
17726,0
80839,0
24246,0
9840,0
11196,0
52875,0
60517,0
142528,0
37123,0
25281,0
103252,0
70135,0
121526,0
29344,0
79560,0
35936,0
4571,0
60900,0
47032,0
92929,0
18946,0
91185,1
69369,0
82814,0
77788,0
111153,0
59812,0
59246,0
35571,0
91890,1
26093,1
108239,0
93119,0
39824,0
127883,0
103658,0
108791,0
79866,0
76959,0
36881,0
66551,0
139142,0
101595,0
26719,0
73569,0
14379,0
70895,0
58436,0
123483,1
49198,0
58598,0
133931,0
103634,0
137289,0
100765,0
105976,1
125890,0
124032,0
32737,0
13540,0
5237,0
46114,0
121458,0
41160,0
51312,0
50326,0
78155,0
91966,0
61562,0
85997,0
29989,0
17540,0
48475,0
86524,0
65517,0
67854,0
27434,0
38786,1
27649,0
145127,0
97022,0
23331,0
150,0
124158,0
106211,0
88958,0
17135,0
94335,0
98456,0
138091,0
86690,0
140655,0
52326,0
96431,0
65721,0
44552,0
27847,1
125518,0
78894,0
68215,0
61030,0
78123,0
77393,0
38026,0
31355,0
132433,0
96542,0
2008,0
6485,0
43366,0
83243,0
149475,0
142021,0
96434,0
123533,0
55180,0
54625,0
50634,0
65791,0
